player,h1,h2,h3,depth,games,wins,draws,win_rate,draw_rate,lose_rate,mean_time
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,0,0,1,2,10,8,0,0.8,0.0,0.2,0.06038964761200771
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,0,0,1,2,10,8,0,0.8,0.0,0.2,0.06038964761200771
x,1,0,0,2,10,5,0,0.5,0.0,0.5,0.07188323101380334
o,0,0,1,2,10,5,0,0.5,0.0,0.5,0.05225943446291964
x,0,0,1,2,10,8,0,0.8,0.0,0.2,0.06038964761200771
o,1,0,0,2,10,2,0,0.2,0.0,0.8,0.08100580703253032
x,1,0,0,2,10,8,0,0.8,0.0,0.2,0.03374430508943773
o,0,1,0,2,10,2,0,0.2,0.0,0.8,0.03730135072197213
x,0,1,0,2,10,8,0,0.8,0.0,0.2,0.03323746082474276
o,1,0,0,2,10,2,0,0.2,0.0,0.8,0.029678321077188118
x,1,0,0,2,10,6,0,0.6,0.0,0.4,0.06258182717907813
o,1,0,0,2,10,4,0,0.4,0.0,0.6,0.060201248464913204
x,1,0,0,2,10,4,0,0.4,0.0,0.6,0.06056369520848134
o,1,0,0,2,10,6,0,0.6,0.0,0.4,0.05897693897734583
x,0,0,1,2,10,3,1,0.3,0.1,0.6,0.059945605954816274
o,0,0,1,2,10,6,1,0.6,0.1,0.3,0.060918436625908165
x,0,0,1,2,10,3,0,0.3,0.0,0.7,0.06297810616031771
o,0,0,1,2,10,7,0,0.7,0.0,0.3,0.05889201673968085
x,0,0,1,2,10,7,0,0.7,0.0,0.3,0.03251615361661142
o,0,1,0,2,10,3,0,0.3,0.0,0.7,0.03958465041000843
x,0,1,0,2,10,2,0,0.2,0.0,0.8,0.04183970484668599
o,0,0,1,2,10,8,0,0.8,0.0,0.2,0.03527034876160488
x,0,0,1,2,10,9,0,0.9,0.0,0.1,0.06475860181995617
o,1,0,0,2,10,1,0,0.1,0.0,0.9,0.0789055765849616
x,1,0,0,2,10,2,0,0.2,0.0,0.8,0.06531611026018516
o,0,0,1,2,10,8,0,0.8,0.0,0.2,0.05269436838806316
x,0,1,0,2,10,6,0,0.6,0.0,0.4,0.04515798511364127
o,0,0,1,2,10,4,0,0.4,0.0,0.6,0.03524965426996228
x,0,0,1,2,10,5,0,0.5,0.0,0.5,0.037493558158007576
o,0,1,0,2,10,5,0,0.5,0.0,0.5,0.043318636411311326
x,0,1,0,2,10,4,0,0.4,0.0,0.6,0.0414946088611941
o,0,1,0,2,10,6,0,0.6,0.0,0.4,0.04021537340152993
x,0,1,0,2,10,4,0,0.4,0.0,0.6,0.04685163519054748
o,0,1,0,2,10,6,0,0.6,0.0,0.4,0.03903072571409672
x,0,1,0,2,10,4,0,0.4,0.0,0.6,0.03350831035329599
o,1,0,0,2,10,6,0,0.6,0.0,0.4,0.03484649913974412
x,1,0,0,2,10,7,0,0.7,0.0,0.3,0.02650971070256573
o,0,1,0,2,10,3,0,0.3,0.0,0.7,0.0283454562015865
x,1.0,0.0,0.0,2,10,7,0,0.7,0.0,0.3,0.01162688885175081
o,0.0,0.5,0.5,2,10,3,0,0.3,0.0,0.7,0.04060589081526807
x,0.0,0.5,0.5,2,10,5,0,0.5,0.0,0.5,0.0523250299412484
o,1.0,0.0,0.0,2,10,5,0,0.5,0.0,0.5,0.011450048745537603
x,1.0,0.0,0.0,2,10,6,0,0.6,0.0,0.4,0.010859843446623397
o,0.33,0.33,0.33,2,10,4,0,0.4,0.0,0.6,0.04015863140481353
x,0.33,0.33,0.33,2,10,7,0,0.7,0.0,0.3,0.05552280351333653
